team_name,AdjO,AdjD,SOS AdjO,SOS Adj D,eFG%,TOV%,ORB%,FTR,Hgt,%2P,%3P,%FT,Tempo,Blk%,Stl%,Def %FT,Def %2P,Def %3P,NST%,A%,3PA%,HomeAdvantage
Duke,129.1,89.7,112.6,103.8,57.6,14.1,35.8,25.9,79.8,44.8,37.5,17.7,68.3,9.8,7.9,17.5,50,32.6,6.2,59.3,45.5,5.36
Auburn,130.7,94.2,117.3,98.9,56.1,13.3,35.1,39.1,78.4,48.5,33.1,18.4,66.8,7.7,8.7,23.8,50.6,25.6,4.5,54.8,40.8,5.36
Houston,124.2,89.2,113.2,100.5,52.7,14.6,36.9,35.6,76.9,52.1,32.1,15.8,69.7,6.5,7.5,21.5,42.8,35.7,7.1,46.2,33.8,5.36
Florida,127.1,92.8,113.9,101.1,54.4,15,38,31.6,77.8,48.1,34.8,17.2,71.4,8.9,8.7,19.8,51.1,29.1,6.2,52.4,43.3,5.36
Tennessee,119.2,88,116.8,101.7,52.6,16.3,35.7,27.9,77.1,46.4,34.6,19,68.6,9.4,9,18.8,46.3,34.9,7.2,60.6,43.2,5.36
Alabama,127.3,98.1,117.9,99.5,56.5,16.9,35.6,33.3,78.1,44.8,34.6,20.6,72.1,12.3,10.4,20,53.3,26.8,6.5,54.6,46.7,5.36
Texas Tech,124.8,97.2,111.6,101.3,55.8,15.4,34.2,33.2,76.6,45.9,37.3,16.8,62.2,7.9,9.3,19.2,52.8,28,6.1,58.5,44,5.36
Gonzaga,125.1,97.8,111.3,104.7,56.4,13.5,33.2,28.8,77.3,55.8,26.2,18,66.1,8.2,7.4,18.1,49.8,32.1,6.1,61.9,34,5.36
Michigan St.,118.5,91.5,114.4,101.8,51.2,16.7,35.9,32,78,55.6,22.2,22.2,69.2,7.9,8.7,20,49.5,30.5,7.9,62,32.6,5.36
Wisconsin,123.8,97.1,114.5,101.5,54.7,14.4,28.3,26.9,78,43.1,36.3,20.5,71.1,10.7,7.2,16.7,50.3,33.1,7.2,54.3,47.5,5.36
Iowa St.,118.7,92.7,113.5,101.6,53.9,16.8,32.4,28.6,77.9,50.4,27.7,21.9,66.3,9.1,10.3,18.1,48.5,33.4,6.4,54.1,36.4,5.36
Maryland,118,92.7,113.4,103.2,54.2,14.7,31,25.7,77.5,51.9,29.8,18.2,0,5.7,7.1,16.6,53.8,29.6,7.6,49.8,35.8,5.36
Arizona,121.6,96.4,115,100.2,52.6,16.4,36.9,29.4,78,53.5,24.9,21.6,65.1,6.4,9.4,18,46.6,35.4,7.1,59,35.3,5.36
Purdue,124.7,99.6,116.1,100.3,57,15.8,30.4,31,77.2,50.1,31.8,18.1,70.5,8.8,9.1,17.8,51,31.2,6.7,58.2,38.2,5.36
Missouri,126.3,101.3,113.1,101.4,56.7,15.2,33.4,34.1,78.3,44.8,31.8,23.4,65.2,10.3,9.1,20.6,49.7,29.8,6.1,50.1,42.1,5.36
Kentucky,125.1,100.2,116.6,99.6,56.3,15.1,29.1,31.1,78.5,47.3,34.2,18.5,66.6,8,8.4,18.3,49.3,32.4,6.6,57,42.2,5.36
St. John's,113.7,89,111.6,103.5,49.5,15.8,37.8,30.5,78.2,59,23.1,17.9,67.6,8.5,9.5,18.3,47.4,34.3,6.3,53.7,30.8,5.36
Illinois,121.9,97.4,115.4,99.5,52.3,15.7,35.6,26.9,78.8,46.4,33.6,20,69.6,8.6,8.5,17.1,56.9,25.9,7.2,51.7,47.3,5.36
Clemson,120.9,96.6,112.1,103.9,54.6,15.5,33.7,27.5,77.9,49.1,34.5,16.5,70.4,8,9,16.2,51.7,32.1,6.5,53.5,39,5.36
Texas A&M,116.9,92.8,116.2,99.7,47.7,18.2,42.2,34.8,77.5,48.9,28.1,23,67.2,14.5,11.7,21.7,39.8,38.5,6.6,48.5,37.6,5.36
Saint Mary's,117,93.3,111.4,106,51.2,14.8,40.2,25.5,78.4,54.8,27.7,17.5,67.7,7.3,8,17.1,55.8,27.1,6.8,58,33.8,5.36
Kansas,115.3,91.7,114.8,99.8,53.1,16.9,29.8,27.2,77.9,58,28,14,67,8.7,10.7,17.7,48.7,33.6,6.1,60.7,33.8,5.36
BYU,123.1,100.3,111.9,101.5,57.6,17.7,33.5,29.9,78.4,45.2,39.5,15.3,69.8,7.9,9.5,17.3,45.4,37.3,8.2,59.2,48,5.36
Louisville,118.7,96.2,113,103.4,53.8,16.4,32,26.6,77.9,43.4,36.9,19.7,70.9,9.3,9.2,16,50.2,33.8,7.2,52.6,49.2,5.36
mi,119,96.6,114.8,100.3,51.8,12.6,25.3,39.5,76.2,47.3,32.5,20.2,71,11.4,8.2,21.8,44.7,33.3,4.4,55.2,40.5,5.36
Marquette,117.9,95.6,113.4,101.9,52.1,13.3,30.7,29.9,78.3,48.1,36.5,15.4,68.7,9.4,8.1,17.9,50.1,31.9,5.2,50.3,46.3,5.36
UCLA,116.7,94.9,114,101.7,52.9,16.1,32.7,35,78.1,52.8,29,18.2,67,6.8,8.6,20.8,45.2,33.9,7.6,59.9,35.7,5.36
Michigan,116.4,95.4,114.1,100.8,55.4,20.1,33.4,27.6,79.1,49.3,32.1,18.6,63.8,7.1,10.6,17.4,50.4,32.2,9.6,57.6,42.4,5.36
VCU,116.9,96.4,107.6,106.6,52.7,16.7,36.9,36.7,78,44.2,37.4,18.5,63.5,7.3,9.7,22.6,49.4,28,7,56.7,47.2,5.36
Baylor,120.9,100.5,113.7,98.7,52,16.6,35.5,34.1,77,48,33.5,18.5,67.5,11.6,9,18.7,47.3,34,7.7,54,40.6,5.36
Oregon,117.6,97.8,114.9,101,52.1,15.9,31.1,27,77.5,49.6,30.8,19.6,69.1,9.2,8.7,16.7,52.6,30.8,7.2,54.5,38.7,5.36
Mississippi St.,118.2,98.5,115.6,101,51.7,15.5,34.6,34.2,77.2,51.3,30.9,17.8,66.8,8.5,8.9,18.6,43,38.3,6.6,53.9,41.8,5.36
Georgia,115.9,96.5,114.1,100.4,52.5,18.9,36.1,29.8,78.9,51.6,27.2,21.2,66.3,9.6,11.9,19,49.4,31.6,7.1,48.4,36.5,5.36
Ohio St.,119,99.6,115.1,100.7,54,15.6,28.9,40,76.8,48.8,31.1,20.1,67.5,8.7,6,23.7,49.6,26.7,9.6,47.8,37.4,5.36
Creighton,116.5,97.9,112.5,101,55.9,18.4,26,17.6,78.9,46,37.8,16.3,65.6,10.9,12,12.1,55.8,32.1,6.4,64,49.4,5.36
